Time of Exp,Compound Name,Samp Size,Set Pt,Test Temp,Hot/Cold?,Sound?,Relative Humidity,Notes
1345,hexacosane,100,325,308,No,,,
+ TA-DA start time is: 2019/2/15 13:30:50
System start time is: 2019/02/15 13:30:51
time,t1,t2,t3,t4,pressure
919310.00,308.50,310.75,309.00,308.00,760.87
919649.00,308.25,310.75,309.00,308.00,760.87
919987.00,307.50,310.50,309.00,307.75,760.87
920326.00,308.50,310.50,309.00,308.00,760.87
920665.00,308.25,310.50,309.00,308.00,760.87
921004.00,307.75,310.50,309.00,308.00,760.87
921342.00,308.50,310.50,309.25,308.00,760.87
921685.00,307.50,310.50,309.00,308.00,760.87
922024.00,308.25,310.50,309.00,308.00,760.87
922363.00,308.25,310.50,309.00,308.00,760.87
922704.00,307.75,310.50,309.00,308.00,760.87
923043.00,308.75,310.50,309.00,308.00,760.87
923381.00,nan,310.50,309.00,308.00,760.87
923720.00,307.75,310.50,309.00,308.00,760.87
924059.00,308.50,310.75,309.00,308.00,760.87
924397.00,308.00,310.50,309.00,308.00,760.87
924736.00,307.75,310.50,309.00,307.75,760.87
925075.00,308.75,310.50,309.00,308.00,760.87
925413.00,nan,310.50,309.00,308.00,761.17
925751.00,308.25,310.50,309.00,308.00,760.87
926090.00,309.50,310.50,309.00,308.00,761.15
926431.00,307.50,310.50,309.00,308.00,761.15
926770.00,nan,310.50,309.00,307.75,761.15
927109.00,308.25,310.50,309.00,308.00,761.15
927448.00,307.75,310.50,309.00,308.00,761.15
927786.00,nan,310.50,309.00,308.00,761.15
928125.00,308.50,310.50,309.00,307.75,761.14
928464.00,307.50,310.50,309.00,308.00,761.14
928802.00,308.00,310.50,309.00,307.75,761.14
929141.00,308.50,310.50,309.00,308.00,761.12
929480.00,307.50,310.50,308.75,308.25,761.42
929819.00,308.25,310.50,308.75,308.00,761.42
930160.00,308.00,310.75,308.50,308.25,761.41
930500.00,308.00,310.50,308.00,308.25,761.71
930839.00,308.50,310.50,307.75,308.75,761.71
931178.00,307.75,310.50,307.50,309.00,761.71
931516.00,nan,310.50,307.50,309.25,761.71
931854.00,308.50,310.50,307.25,309.50,761.41
932193.00,308.00,310.50,307.00,309.75,761.41
932532.00,308.50,310.50,307.00,310.00,761.41
932870.00,308.75,310.75,306.75,310.25,761.41
933209.00,308.00,310.50,306.50,310.75,761.40
933548.00,308.25,310.50,306.50,310.75,761.70
933886.00,308.75,310.50,306.75,311.00,761.40
934228.00,308.00,310.75,306.50,311.00,761.39
934567.00,308.75,310.75,306.50,311.25,761.69
934905.00,308.75,310.75,306.75,311.25,761.39
935244.00,308.25,310.50,306.75,311.50,761.40
935583.00,309.00,310.50,306.75,311.75,761.40
935922.00,309.00,310.75,306.75,311.75,761.10
936260.00,308.50,310.75,306.50,312.00,761.40
936599.00,309.00,310.75,306.75,312.00,761.40
936938.00,309.00,310.75,306.75,312.25,761.10
937277.00,309.00,310.75,306.75,312.25,761.11
937614.00,309.25,310.75,306.75,312.50,761.11
937956.00,308.75,310.75,306.75,312.50,761.41
938294.00,309.00,310.75,307.00,312.50,761.12
938633.00,309.75,310.75,307.25,312.75,761.12
938971.00,308.75,311.00,307.25,312.75,761.12
939310.00,309.00,311.00,307.25,312.75,761.42
939650.00,310.00,311.00,307.25,313.00,761.12
939989.00,309.00,311.00,307.25,313.00,761.12
940327.00,309.50,311.00,307.50,313.00,761.12
940666.00,310.00,311.00,307.50,313.25,761.42
941004.00,309.25,311.00,307.50,313.25,761.13
941343.00,309.50,311.00,307.75,313.25,760.83
941692.00,309.50,311.00,307.75,313.50,760.83
942030.00,310.25,311.25,307.75,313.50,761.13
942369.00,309.50,311.25,307.75,313.75,761.43
942708.00,309.50,311.00,307.75,313.75,761.13
943046.00,310.50,311.25,308.00,313.75,761.13
943385.00,309.75,311.25,308.25,313.75,761.13
943724.00,309.75,311.25,308.25,314.00,761.13
944062.00,310.50,311.25,308.25,314.00,761.13
944400.00,310.00,311.25,308.25,314.25,761.13
944738.00,310.00,311.25,308.25,314.25,761.43
945077.00,310.50,311.50,308.50,314.25,761.13
945418.00,309.75,311.25,308.50,314.50,761.13
945757.00,nan,311.50,308.75,314.50,761.43
946096.00,310.50,311.50,308.75,314.50,761.42
946435.00,310.25,311.25,308.50,314.50,761.42
946773.00,310.75,311.50,309.00,314.75,761.42
947112.00,310.50,311.50,309.00,314.75,761.41
947451.00,310.25,311.25,309.00,314.75,761.12
947790.00,311.00,311.50,309.00,315.00,761.41
948130.00,310.75,311.50,309.00,315.00,761.41
948468.00,310.25,311.50,309.00,315.00,761.11
948807.00,311.50,311.50,309.25,315.25,761.41
949149.00,310.50,311.50,309.00,315.25,761.41
949487.00,311.00,311.75,309.25,315.25,761.12
949826.00,311.25,311.75,309.25,315.25,761.41
950165.00,310.75,311.75,309.25,315.50,761.42
950504.00,nan,311.50,309.25,315.50,761.12
950841.00,311.25,311.50,309.25,315.50,761.42
951180.00,310.75,311.75,309.25,315.50,761.42
951519.00,311.50,311.75,309.50,315.75,761.42
951858.00,311.50,311.75,309.50,315.75,761.42
952196.00,311.00,311.75,309.50,315.75,761.42
952535.00,311.50,312.00,309.75,315.75,761.42
952876.00,311.00,312.00,309.50,315.75,761.42
953215.00,311.50,311.75,309.75,316.00,761.42
953554.00,312.00,311.75,309.75,316.00,761.42
953893.00,311.00,312.00,309.75,316.00,761.42
954231.00,311.50,312.00,310.00,316.00,761.72
954570.00,312.00,312.00,310.00,316.00,761.42
954909.00,311.25,312.00,310.00,316.00,761.42
955247.00,311.75,312.00,310.00,316.25,761.42
955586.00,312.00,312.00,310.00,316.25,761.42
955925.00,311.25,312.00,310.00,316.25,761.42
956264.00,312.00,312.00,310.25,316.25,761.42
956605.00,312.00,312.00,310.25,316.25,761.42
956944.00,311.50,312.25,310.25,316.25,761.72
957283.00,312.25,312.00,310.25,316.25,761.42
957622.00,311.75,312.25,310.25,316.25,761.42
957960.00,312.00,312.25,310.25,316.50,761.72
958299.00,312.50,312.25,310.50,316.50,761.72
958638.00,312.00,312.25,310.25,316.25,761.72
958977.00,312.25,312.25,310.50,316.50,761.73
959315.00,312.50,312.25,310.50,316.50,761.73
959654.00,311.75,312.25,310.50,316.50,761.73
959993.00,312.25,312.25,310.50,316.75,761.43
960332.00,312.75,312.25,310.75,316.75,761.73
960673.00,312.00,312.25,310.75,316.75,761.43
961012.00,312.75,312.50,310.75,316.75,761.74
961350.00,312.50,312.50,310.75,316.75,761.74
961689.00,312.25,312.50,310.75,316.75,761.74
962028.00,313.00,312.50,310.75,316.75,761.74
962367.00,312.50,312.50,310.75,317.00,761.74
962704.00,312.25,312.50,310.75,317.00,761.44
963043.00,313.00,312.75,311.00,316.75,761.73
963382.00,312.50,312.50,311.00,317.00,761.73
963721.00,312.25,312.50,311.00,317.00,761.73
964059.00,313.00,312.50,311.00,316.75,761.73
964401.00,312.25,312.50,311.00,316.75,761.73
964740.00,313.00,312.50,311.00,317.00,761.43
965078.00,313.00,312.50,311.25,317.00,761.73
965417.00,312.50,312.50,311.00,317.00,761.73
965756.00,313.00,312.75,311.00,317.00,761.73
966096.00,313.00,312.75,311.25,317.00,761.73
966435.00,312.50,312.50,311.25,317.00,761.43
966773.00,313.25,312.75,311.25,317.00,761.73
967112.00,313.00,312.75,311.25,317.00,761.73
967451.00,312.50,312.75,311.25,317.00,761.73
967790.00,313.50,312.75,311.25,317.00,761.73
968131.00,312.50,312.75,311.25,317.00,761.43
968470.00,313.00,312.75,311.50,317.00,761.73
968808.00,313.25,312.75,311.50,317.00,761.73
969146.00,312.75,312.75,311.50,317.00,761.73
969485.00,313.00,313.00,311.50,317.00,761.73
969823.00,313.25,312.75,311.50,317.25,761.73
970162.00,312.75,313.00,311.50,317.00,761.73
970500.00,313.00,312.75,311.50,317.00,761.73
970839.00,313.50,313.00,311.50,317.00,761.73
971178.00,312.75,312.75,311.75,317.25,761.73
971516.00,313.25,312.75,311.50,317.00,761.73
971858.00,313.25,312.75,311.75,317.25,761.73
972196.00,313.00,313.00,311.75,317.25,761.73
972535.00,313.75,313.00,311.75,317.00,761.73
972874.00,313.25,313.00,311.75,317.25,761.73
973212.00,nan,313.00,311.50,317.25,761.73
973551.00,313.50,313.00,311.75,317.25,761.73
973890.00,313.50,313.00,311.75,317.25,761.73
974228.00,nan,313.00,311.75,317.25,761.73
974567.00,313.50,313.00,311.75,317.00,761.73
974904.00,313.50,313.00,311.75,317.25,761.74
975244.00,313.25,313.00,311.75,317.25,761.74
975586.00,313.50,313.00,311.75,317.00,761.74
975925.00,313.00,313.00,311.75,317.25,761.74
976263.00,313.50,313.25,311.75,317.00,761.74
976602.00,313.50,313.25,312.00,317.25,761.74
976941.00,313.00,313.00,311.75,317.00,761.76
977279.00,nan,313.00,311.75,317.25,761.76
977618.00,313.75,313.00,312.00,317.25,762.06
977957.00,313.00,313.00,311.75,317.00,761.77
978296.00,313.75,313.25,311.75,317.00,761.77
978634.00,313.75,313.25,312.00,317.00,761.77
978973.00,nan,313.25,311.75,317.00,761.78
979315.00,313.75,313.25,312.00,317.00,761.78
979653.00,313.25,313.25,311.75,317.00,761.78
979992.00,313.25,313.25,312.00,317.00,761.78
980331.00,313.75,313.25,312.00,317.00,761.78
980670.00,313.25,313.25,312.00,317.00,761.78
981007.00,313.25,313.25,312.00,317.00,761.78
981346.00,314.00,313.25,312.00,317.00,761.78
981685.00,313.00,313.25,312.00,317.00,761.78
982024.00,313.50,313.25,312.00,317.00,761.78
982362.00,313.75,313.25,312.00,317.00,761.78
982701.00,313.00,313.25,312.00,317.00,761.78
983040.00,313.75,313.50,312.00,317.00,761.78
983376.00,313.75,313.25,312.00,316.75,761.78
983715.00,313.25,313.25,312.00,316.75,761.78
984055.00,313.25,313.25,312.25,317.00,761.79
984394.00,313.75,313.50,312.25,316.75,761.79
984733.00,313.00,313.50,312.00,316.75,761.79
985071.00,313.50,313.50,312.00,316.75,761.79
985410.00,313.75,313.50,312.25,316.75,761.79
985749.00,313.00,313.50,312.00,316.75,761.79
986088.00,313.75,313.50,312.25,316.75,761.78
986425.00,313.75,313.50,312.25,316.75,762.08
986764.00,313.00,313.50,312.25,316.75,761.78
987105.00,313.75,313.25,312.25,316.75,762.08
987444.00,313.25,313.50,312.25,316.75,762.08
987783.00,313.25,313.50,312.00,316.75,762.08
988122.00,314.00,313.50,312.25,316.75,762.06
988460.00,313.25,313.50,312.25,316.50,762.06
988799.00,313.25,313.50,312.25,316.50,761.76
989138.00,314.00,313.50,312.25,316.75,762.03
989476.00,313.25,313.50,312.25,316.75,762.03
989815.00,313.25,313.50,312.25,316.50,762.03
990154.00,314.00,313.50,312.25,316.50,762.02
990493.00,313.00,313.50,312.25,316.50,762.02
990834.00,313.75,313.50,312.25,316.50,762.02
991173.00,313.25,313.50,312.25,316.50,762.02
991512.00,313.25,313.50,312.00,316.50,761.72
991850.00,314.00,313.75,312.25,316.50,762.02
992189.00,313.25,313.50,312.25,316.50,761.72
992527.00,313.25,313.75,312.25,316.50,761.72
992865.00,313.75,313.75,312.25,316.50,762.02
993205.00,313.00,313.50,312.00,316.50,762.02
993544.00,313.50,313.75,312.25,316.25,761.72
993883.00,314.00,313.50,312.25,316.25,762.04
994222.00,313.00,313.75,312.25,316.25,761.74
994563.00,313.75,313.75,312.50,316.25,761.74
994902.00,313.25,313.50,312.00,316.25,762.05
995241.00,313.25,313.75,312.25,316.50,761.75
995579.00,314.00,313.75,312.50,316.25,762.05
995918.00,313.25,313.75,312.25,316.25,761.76
996257.00,313.25,313.75,312.25,316.25,761.76
996596.00,314.00,313.75,312.25,316.25,761.76
